full_name,age,season,position,Current_Club,minutes_played_overall,minutes_played_home,minutes_played_away,goals_overall,goals_home,goals_away,goals_per_90_overall,goals_per_90_home,goals_per_90_away
Harvey Barnes,24,2018/2019,Midfielder,Leicester City,1007,601,406,1,0,1,0.09,0,0.22
Håvard Nordtveit,32,2018/2019,Midfielder,Fulham,361,90,271,0,0,0,0,0,0
Hector Bellerin,27,2018/2019,Defender,Arsenal,1535,882,653,0,0,0,0,0,0
Hélder Wander Sousa Azevedo Costa,28,2018/2019,Midfielder,Wolverhampton Wanderers,1345,657,688,1,0,1,0.07,0,0.13
Henrikh Mkhitaryan,33,2018/2019,Midfielder,Arsenal,1643,650,993,6,3,3,0.33,0.42,0.27
Heung-Min Son,30,2018/2019,Forward,Tottenham Hotspur,2048,1161,887,12,8,4,0.53,0.62,0.41
Heurelho da Silva Gomes,41,2018/2019,Goalkeeper,Watford,0,0,0,0,0,0,0,0,0
Hugo Lloris,35,2018/2019,Goalkeeper,Tottenham Hotspur,2970,1620,1350,0,0,0,0,0,0
Ibrahima Cissé,28,2018/2019,Midfielder,Fulham,87,9,78,0,0,0,0,0,0
Idrissa Gueye,33,2018/2019,Midfielder,Everton,2825,1407,1418,0,0,0,0,0,0
İlkay Gündoğan,32,2018/2019,Midfielder,Manchester City,2135,985,1150,6,4,2,0.25,0.37,0.16
Isaac Hayden,27,2018/2019,Midfielder,Newcastle United,1886,904,982,1,0,1,0.05,0,0.09
Isaac Mbenza,26,2018/2019,Forward,Huddersfield Town,981,589,392,1,1,0,0.09,0.15,0
Isaac Success,26,2018/2019,Forward,Watford,1037,461,576,1,1,0,0.09,0.2,0
Issa Diop,25,2018/2019,Defender,West Ham United,2970,1530,1440,1,1,0,0.03,0.06,0
Ivan Ricardo Neves Abreu Cavaleiro,29,2018/2019,Forward,Wolverhampton Wanderers,683,331,352,3,2,1,0.4,0.54,0.26
Jack Cork,33,2018/2019,Midfielder,Burnley,3313,1693,1620,1,1,0,0.03,0.05,0
Jack Simpson,25,2018/2019,Defender,AFC Bournemouth,403,240,163,0,0,0,0,0,0
Jack Stephens,28,2018/2019,Defender,Southampton,1697,816,881,1,1,0,0.05,0.11,0
Jack Wilshere,30,2018/2019,Midfielder,West Ham United,389,181,208,0,0,0,0,0,0
Jacob Murphy,27,2018/2019,Midfielder,Newcastle United,300,167,133,0,0,0,0,0,0
Jaïro Riedewald,26,2018/2019,Defender,Crystal Palace,0,0,0,0,0,0,0,0,0
Jamaal Lascelles,28,2018/2019,Defender,Newcastle United,2748,1308,1440,0,0,0,0,0,0
James Garner,21,2018/2019,Defender,Manchester United,0,0,0,0,0,0,0,0,0
James Maddison,25,2018/2019,Midfielder,Leicester City,2850,1535,1315,7,3,4,0.22,0.18,0.27
James McArthur,35,2018/2019,Midfielder,Crystal Palace,3071,1506,1565,3,1,2,0.09,0.06,0.12
James McCarthy,31,2018/2019,Midfielder,Everton,14,14,0,0,0,0,0,0,0
James Milner,36,2018/2019,Midfielder,Liverpool,1785,646,1139,5,0,5,0.25,0,0.4
James Tarkowski,29,2018/2019,Defender,Burnley,3087,1620,1467,3,2,1,0.09,0.11,0.06
James Tomkins,33,2018/2019,Defender,Crystal Palace,2563,1140,1423,1,0,1,0.04,0,0.06
James Ward-Prowse,27,2018/2019,Midfielder,Southampton,1942,942,1000,7,5,2,0.32,0.48,0.18
Jamie Sterry,26,2018/2019,Defender,Newcastle United,0,0,0,0,0,0,0,0,0
Jamie Vardy,35,2018/2019,Forward,Leicester City,2735,1418,1317,18,8,10,0.59,0.51,0.68
Jan Bednarek,26,2018/2019,Defender,Southampton,2151,1126,1025,0,0,0,0,0,0
Jan Vertonghen,35,2018/2019,Defender,Tottenham Hotspur,1915,884,1031,1,0,1,0.05,0,0.09
Jannik Vestergaard,30,2018/2019,Defender,Southampton,2030,1130,900,0,0,0,0,0,0
Jason Puncheon,36,2018/2019,Midfielder,Huddersfield Town,391,248,143,0,0,0,0,0,0
Jason Steele,32,2018/2019,Goalkeeper,Brighton & Hove Albion,0,0,0,0,0,0,0,0,0
Javier Hernandez,34,2018/2019,Forward,West Ham United,1335,694,641,7,5,2,0.47,0.65,0.28
Javier Manquillo,28,2018/2019,Defender,Newcastle United,1097,503,594,0,0,0,0,0,0
Jayson Molumby,23,2018/2019,Midfielder,Brighton & Hove Albion,0,0,0,0,0,0,0,0,0
Jazz Richards,31,2018/2019,Defender,Cardiff City,128,52,76,0,0,0,0,0,0
Jean Michau00ebl Seri,31,2018/2019,Midfielder,Fulham,2252,1112,1140,1,1,0,0.04,0.08,0
Jeff Hendrick,30,2018/2019,Midfielder,Burnley,2069,898,1171,3,1,2,0.13,0.1,0.15
